Current Time: Tue Jul 21 13:02:53 2020


                        Number of buffers:  7
      29 was consumed by consumer ->       1
      36 was produced by producer ->       5
      30 was consumed by consumer ->       2
      37 was produced by producer ->       4
      31 was consumed by consumer ->       3
      38 was produced by producer ->       5
      32 was consumed by consumer ->       1
      39 was produced by producer ->       2
      33 was consumed by consumer ->       2
      40 was produced by producer ->       4
      34 was consumed by consumer ->       3
      41 was produced by producer ->       1
      35 was consumed by consumer ->       1
      42 was produced by producer ->       3
      36 was consumed by consumer ->       2
      43 was produced by producer ->       4
      37 was consumed by consumer ->       3
      44 was produced by producer ->       3
      38 was consumed by consumer ->       1
      45 was produced by producer ->       5
      39 was consumed by consumer ->       2
      46 was produced by producer ->       2
      40 was consumed by consumer ->       3
      47 was produced by producer ->       4
      41 was consumed by consumer ->       1
      48 was produced by producer ->       1
      42 was consumed by consumer ->       2
      49 was produced by producer ->       5
      43 was consumed by consumer ->       3
      50 was produced by producer ->       2
      44 was consumed by consumer ->       1
      51 was produced by producer ->       3
      45 was consumed by consumer ->       2
      52 was produced by producer ->       5
      46 was consumed by consumer ->       3
      53 was produced by producer ->       1
      47 was consumed by consumer ->       1
      54 was produced by producer ->       4
      48 was consumed by consumer ->       2
      55 was produced by producer ->       5
      49 was consumed by consumer ->       3
      56 was produced by producer ->       5
      50 was consumed by consumer ->       1
      57 was produced by producer ->       3
      51 was consumed by consumer ->       2
      58 was produced by producer ->       2
      52 was consumed by consumer ->       3
      59 was produced by producer ->       2
      53 was consumed by consumer ->       1
      60 was produced by producer ->       4
      54 was consumed by consumer ->       2
      61 was produced by producer ->       1
      55 was consumed by consumer ->       1
      62 was produced by producer ->       5
      56 was consumed by consumer ->       2
      63 was produced by producer ->       3
      57 was consumed by consumer ->       3
      64 was produced by producer ->       1
      58 was consumed by consumer ->       1
      65 was produced by producer ->       2
      59 was consumed by consumer ->       2
      66 was produced by producer ->       4
      60 was consumed by consumer ->       3
      67 was produced by producer ->       5
      61 was consumed by consumer ->       1
      68 was produced by producer ->       3
      62 was consumed by consumer ->       2
      69 was produced by producer ->       1
      63 was consumed by consumer ->       3
      70 was produced by producer ->       2
      64 was consumed by consumer ->       1
      65 was consumed by consumer ->       3
      71 was produced by producer ->       4
      72 was produced by producer ->       3
      66 was consumed by consumer ->       2
      73 was produced by producer ->       1
      67 was consumed by consumer ->       1
      74 was produced by producer ->       2
      68 was consumed by consumer ->       2
      75 was produced by producer ->       4
      69 was consumed by consumer ->       3
      76 was produced by producer ->       1
      70 was consumed by consumer ->       1
      77 was produced by producer ->       3
      71 was consumed by consumer ->       2
      78 was produced by producer ->       4
      72 was consumed by consumer ->       3
Producer Thread joined:	1
      79 was produced by producer ->       2
      73 was consumed by consumer ->       3
      80 was produced by producer ->       3
Producer Thread joined:	2
      74 was consumed by consumer ->       1
      75 was consumed by consumer ->       2
      76 was consumed by consumer ->       3
Producer Thread joined:	3
Producer Thread joined:	4
      77 was consumed by consumer ->       1
Producer Thread joined:	5
      78 was consumed by consumer ->       2
      79 was consumed by consumer ->       3
Consumer Thread joined:	1
Consumer Thread joined:	2
      80 was consumed by consumer ->       3
Consumer Thread joined:	3

Current Time: Tue Jul 21 13:03:21 2020

Producer Array    |  Consumer Array
1                 |  1              
2                 |  2              
3                 |  3              
4                 |  4              
5                 |  5              
6                 |  6              
7                 |  7              
8                 |  8              
9                 |  9              
10                |  10             
11                |  11             
12                |  12             
13                |  13             
14                |  14             
15                |  15             
16                |  16             
17                |  17             
18                |  18             
19                |  19             
20                |  20             
21                |  21             
22                |  22             
23                |  23             
24                |  24             
25                |  25             
26                |  26             
27                |  27             
28                |  28             
29                |  29             
30                |  30             
31                |  31             
32                |  32             
33                |  33             
34                |  34             
35                |  35             
36                |  36             
37                |  37             
38                |  38             
39                |  39             
40                |  40             
41                |  41             
42                |  42             
43                |  43             
44                |  44             
45                |  45             
46                |  46             
47                |  47             
48                |  48             
49                |  49             
50                |  50             
51                |  51             
52                |  52             
53                |  53             
54                |  54             
55                |  55             
56                |  56             
57                |  57             
58                |  58             
59                |  59             
60                |  60             
61                |  61             
62                |  62             
63                |  63             
64                |  64             
65                |  65             
66                |  66             
67                |  67             
68                |  68             
69                |  69             
70                |  70             
71                |  71             
72                |  72             
73                |  73             
74                |  74             
75                |  75             
76                |  76             
77                |  77             
78                |  78             
79                |  79             
80                |  80             
Producer and Consumer Arrays Match!

Total runtime: 28.035676975 seconds
